Neighborhood,LotArea,MSZoning,HouseStyle,LotFrontage,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,SalePrice
NAmes,7200,RL,1Story,60,5,7,1951,2000,900,900,0,0,900,1,0,3,1,5,0,2005,2,576,222,32,0,134800
NridgHt,11478,RL,1Story,98,8,5,2007,2008,1704,1704,0,0,1704,2,0,3,1,7,1,2008,3,772,0,50,0,306000
NAmes,16321,RL,1Story,47,5,6,1957,1997,1484,1600,0,0,1600,1,0,2,1,6,2,1957,1,319,288,258,0,207500
BrkSide,6324,RM,1Story,60,4,6,1927,1950,520,520,0,0,520,1,0,1,1,4,0,1920,1,240,49,0,87,68500
IDOTRR,8500,C (all),2Story,50,4,4,1920,1950,649,649,668,0,1317,1,0,3,1,6,0,1920,1,250,0,54,172,40000
Sawyer,8544,RL,1Story,NA,5,6,1966,2006,1228,1228,0,0,1228,1,1,3,1,6,0,1966,1,271,0,65,0,149350
CollgCr,11049,RL,1Story,85,8,5,2007,2007,1234,1234,0,0,1234,2,0,3,1,7,0,2007,2,484,0,30,0,179900
NAmes,10552,RL,1Story,70,5,5,1959,1959,1398,1700,0,0,1700,1,1,4,1,6,1,1959,2,447,0,38,0,165500
NridgHt,7313,RL,1Story,60,9,5,2005,2005,1561,1561,0,0,1561,2,0,2,1,6,1,2005,2,556,203,47,0,277500
NridgHt,13418,RL,2Story,108,8,5,2004,2005,1117,1132,1320,0,2452,3,1,4,1,9,1,2004,3,691,113,32,0,309000
CollgCr,10859,RL,1Story,112,5,5,1994,1995,1097,1097,0,0,1097,1,1,3,1,6,0,1995,2,672,392,64,0,145000
NAmes,8532,RL,1Story,74,5,6,1954,1990,1297,1297,0,0,1297,1,0,3,1,5,1,1954,2,498,0,0,0,153000
NAmes,7922,RL,1Story,68,5,7,1953,2007,1057,1057,0,0,1057,1,0,3,1,5,0,1953,1,246,0,52,0,109000
Edwards,6040,RL,1Story,65,4,5,1955,1955,0,1152,0,0,1152,2,0,2,2,6,0,NA,0,0,0,0,0,82000
NAmes,8658,RL,1Story,84,6,5,1965,1965,1088,1324,0,0,1324,2,0,3,1,6,1,1965,2,440,0,138,0,160000
Timber,16905,RL,1Story,115,5,6,1959,1959,1350,1328,0,0,1328,1,1,2,1,5,2,1959,1,308,0,104,0,170000
SawyerW,9180,RL,SFoyer,NA,5,7,1983,1983,840,884,0,0,884,1,0,2,1,5,0,1983,2,504,240,0,0,144000
CollgCr,9200,RL,1Story,NA,5,6,1975,1980,938,938,0,0,938,1,0,3,1,5,0,1977,1,308,145,0,0,130250
NAmes,7945,RL,1Story,70,5,6,1959,1959,1150,1150,0,0,1150,1,0,3,1,6,0,1959,1,300,0,0,0,141000
NridgHt,7658,RL,1Story,61,9,5,2005,2005,1752,1752,0,0,1752,2,0,2,1,6,1,2005,2,576,196,82,0,319900
Mitchel,12822,RL,1.5Fin,48,7,5,2003,2003,1434,1518,631,0,2149,1,1,1,1,6,1,2003,2,670,168,43,0,239686
Somerst,11096,FV,1Story,84,8,5,2006,2006,1656,1656,0,0,1656,2,0,3,1,7,0,2006,3,826,0,146,0,249700
OldTown,4456,RM,2Story,33,4,5,1920,2008,736,736,716,0,1452,2,0,2,3,8,0,NA,0,0,0,0,102,113000
Sawyer,7742,RL,1Story,66,5,7,1966,1966,955,955,0,0,955,1,0,3,1,6,0,1966,1,386,0,0,0,127000
Gilbert,13869,RL,2Story,NA,6,6,1997,1997,794,794,676,0,1470,2,0,3,1,6,0,1997,2,388,0,75,0,177000
BrkSide,6240,RM,1.5Fin,52,6,6,1934,1950,816,816,0,360,1176,1,0,3,1,6,1,1985,2,528,112,0,0,114500
IDOTRR,8472,RM,1Story,110,5,5,1963,1963,816,816,0,0,816,1,0,2,1,5,0,1963,2,516,106,0,0,110000
Veenker,50271,RL,1Story,68,9,5,1981,1987,1842,1842,0,0,1842,0,1,0,1,5,1,1981,3,894,857,72,0,385000
NAmes,7134,RL,SLvl,60,5,5,1955,1955,384,1360,0,0,1360,1,0,3,1,6,1,1962,2,572,0,50,0,130000
NAmes,10175,RL,1Story,100,6,5,1964,1964,1425,1425,0,0,1425,2,0,3,1,7,1,1964,2,576,0,0,0,180500
Somerst,2645,FV,2Story,24,8,5,1999,2000,970,983,756,0,1739,2,1,3,1,7,0,1999,2,480,115,0,0,172500
CollgCr,11645,RL,2Story,89,7,5,2004,2004,860,860,860,0,1720,2,1,3,1,7,0,2004,2,565,0,70,0,196500
StoneBr,13682,RL,2Story,66,10,5,2006,2006,1410,1426,1519,0,2945,3,1,3,1,10,1,2006,3,641,192,0,37,438780
CollgCr,7200,RL,1Story,60,5,7,1972,1972,780,780,0,0,780,1,0,2,1,4,0,1973,1,352,196,0,0,124900
SawyerW,13072,RL,1Story,63,6,5,2004,2004,1158,1158,0,0,1158,1,1,3,1,5,0,2006,2,576,0,50,0,158000
IDOTRR,7200,RM,2.5Unf,60,5,7,1920,1996,530,581,530,0,1111,1,0,3,1,6,0,1935,1,288,0,0,144,101000
NridgHt,6442,RL,1Story,44,8,5,2006,2006,1370,1370,0,0,1370,2,0,2,1,6,1,2006,2,484,120,49,0,202500
OldTown,10300,RM,2Story,50,7,6,1921,1950,576,902,808,0,1710,2,0,3,1,9,0,1990,2,480,12,11,64,140000
CollgCr,9375,RL,2Story,NA,7,5,1997,1998,1057,1057,977,0,2034,2,1,3,1,8,0,1998,2,645,576,36,0,219500
NridgHt,9591,RL,2Story,76,8,5,2004,2005,1143,1143,1330,0,2473,2,1,4,1,9,1,2004,3,852,192,151,0,317000
NAmes,19900,RL,1Story,NA,7,5,1970,1989,1947,2207,0,0,2207,2,0,3,1,7,1,1970,2,576,301,0,0,180000
CollgCr,10665,RL,1Story,72,7,5,2003,2003,1453,1479,0,0,1479,2,0,3,1,7,0,2003,2,558,144,29,0,226000
OldTown,4608,RM,1Story,47,4,6,1945,1950,747,747,0,0,747,1,0,2,1,4,0,1945,1,220,0,0,0,80000
ClearCr,15593,RL,1.5Fin,81,7,4,1953,1953,1304,1304,983,0,2287,2,0,3,1,7,1,1953,2,667,0,21,114,225000
NAmes,13651,RL,1Story,95,7,6,1973,1973,2223,2223,0,0,2223,2,0,3,1,8,2,1973,2,516,300,0,0,244000
Mitchel,7599,RL,1Story,69,4,6,1982,2006,845,845,0,0,845,1,0,2,1,4,0,1987,2,360,0,0,0,129500
Gilbert,10141,RL,2Story,74,7,5,1998,1998,832,885,833,0,1718,2,1,3,1,7,1,1998,2,427,0,94,0,185000
NAmes,10200,RL,1Story,85,5,7,1954,2003,1086,1086,0,0,1086,1,0,3,1,6,0,1989,2,490,0,0,0,144900
OldTown,5790,RM,2Story,60,3,6,1915,1950,840,840,765,0,1605,2,0,3,2,8,0,1915,1,379,0,0,202,107400
MeadowV,1596,RM,SLvl,21,4,5,1973,1973,462,526,462,0,988,1,0,2,1,5,0,1973,1,297,120,101,0,91000
NAmes,8475,RL,1Story,NA,4,7,1956,1956,952,952,0,0,952,1,0,2,1,4,0,1956,1,283,0,0,0,135750
BrkSide,8635,RM,1.5Fin,50,5,5,1948,2001,672,1072,213,0,1285,1,0,2,1,6,0,1948,1,240,0,0,0,127000
Sawyer,10778,RL,1Story,72,4,5,1968,1968,1768,1768,0,0,1768,2,0,4,2,8,0,NA,0,0,0,0,0,136500
OldTown,10440,RM,2Story,60,5,6,1910,1981,440,682,548,0,1230,1,1,2,1,5,0,1966,2,440,74,0,128,110000
NAmes,13000,RL,2Story,100,6,6,1968,1968,896,1182,960,0,2142,2,1,4,1,8,1,1968,1,509,0,72,0,193500
Mitchel,4500,RM,1Story,32,6,5,1998,1998,1237,1337,0,0,1337,2,0,2,1,5,0,1998,2,405,0,199,0,153500
Somerst,10206,RL,1Story,78,8,5,2007,2007,1563,1563,0,0,1563,2,0,3,1,6,1,2007,3,758,144,99,0,245000
NAmes,8892,RL,1Story,80,5,5,1960,1960,1065,1065,0,0,1065,1,1,3,1,6,0,1974,2,461,74,0,0,126500
Gilbert,8530,RL,SLvl,NA,7,5,1995,1996,384,804,670,0,1474,2,1,3,1,7,1,1995,2,400,120,72,0,168500
NoRidge,16059,RL,2Story,121,8,5,1991,1992,1288,1301,1116,0,2417,2,1,4,1,9,1,1991,2,462,127,82,0,260000
Gilbert,11911,RL,2Story,122,6,5,2005,2005,684,684,876,0,1560,2,1,3,1,6,1,2005,2,400,100,38,0,174000
Somerst,3951,FV,2Story,40,6,5,2009,2009,612,612,612,0,1224,2,1,2,1,4,0,2009,2,528,0,234,0,164500
IDOTRR,8470,C (all),1.5Fin,105,3,2,1915,1982,1013,1013,0,513,1526,1,0,2,1,6,0,NA,0,0,0,0,156,85000
CollgCr,8070,RL,1Story,60,4,5,1994,1995,990,990,0,0,990,1,0,3,1,5,0,NA,0,0,0,0,0,123600
NAmes,7200,RL,1Story,60,4,5,1950,1950,0,1040,0,0,1040,1,0,2,1,4,0,1950,2,420,0,29,0,109900
NAmes,8500,RL,1Story,85,5,3,1961,1961,1235,1235,0,0,1235,1,0,2,1,6,0,1961,2,480,0,0,0,98600
Crawfor,13360,RL,1Story,80,5,7,1921,2006,876,964,0,0,964,1,0,2,1,5,0,1921,2,432,0,0,44,163500
OldTown,7200,C (all),2.5Unf,60,6,6,1910,1998,1214,1260,1031,0,2291,2,0,4,2,9,1,1900,2,506,0,0,0,133900
CollgCr,9337,RL,2Story,69,6,5,1997,1997,824,905,881,0,1786,2,1,3,1,7,0,1997,2,684,0,162,0,204750
Gilbert,9765,RL,2Story,NA,6,8,1993,1993,680,680,790,0,1470,2,1,3,1,6,1,1993,2,420,232,63,0,185000
CollgCr,10264,RL,1Story,78,7,5,1999,1999,1588,1588,0,0,1588,2,0,3,1,6,0,1999,2,472,158,29,0,214000
Edwards,10921,RL,1Story,73,4,5,1965,1965,960,960,0,0,960,1,0,3,1,6,0,1965,1,432,120,0,0,94750
Edwards,10625,RL,1Story,85,5,5,1920,1950,458,835,0,0,835,1,0,2,1,5,0,1920,1,366,0,0,77,83000
NAmes,9320,RL,1Story,77,4,5,1959,1959,950,1225,0,0,1225,1,1,3,1,6,0,NA,0,0,352,0,0,128950
NWAmes,10603,RL,1Story,NA,6,7,1977,2001,1610,1610,0,0,1610,2,0,3,1,6,2,1977,2,480,168,68,0,205000
SawyerW,9206,RL,2Story,77,6,5,1985,1985,741,977,755,0,1732,2,1,3,1,7,1,1985,2,476,192,46,0,178000
SawyerW,7018,RL,1Story,64,5,5,1979,1979,0,1535,0,0,1535,2,0,4,2,8,0,1979,2,410,0,0,0,118964
CollgCr,10402,RL,1Story,94,7,5,2009,2009,1226,1226,0,0,1226,2,0,3,1,6,0,2009,3,740,0,36,0,198900
IDOTRR,7758,RM,1.5Fin,NA,7,4,1931,1950,1040,1226,592,0,1818,1,1,4,1,7,2,1951,1,240,0,0,0,169500
Somerst,9375,FV,2Story,75,8,5,2003,2004,1053,1053,939,0,1992,2,1,3,1,9,1,2003,2,648,140,45,0,250000
OldTown,10800,RM,1Story,60,4,7,1885,1995,641,1047,0,0,1047,1,0,2,1,6,0,1954,1,273,0,0,0,100000
OldTown,6000,RM,1Story,50,5,5,1948,1950,789,789,0,0,789,1,0,2,1,5,0,1948,1,250,0,0,0,115000
IDOTRR,8500,RM,1.5Fin,85,5,7,1919,2005,793,997,520,0,1517,2,0,3,1,7,0,NA,0,0,0,0,144,115000
NWAmes,11751,RL,1Story,105,6,6,1977,1977,1844,1844,0,0,1844,2,0,3,1,7,1,1977,2,546,0,122,0,190000
Edwards,9525,RL,1.5Fin,75,6,4,1954,1972,994,1216,639,0,1855,2,0,4,1,7,0,1954,1,325,182,0,0,136900
Gilbert,7750,RL,SLvl,NA,7,5,2000,2000,384,774,656,0,1430,2,1,3,1,7,1,2000,2,400,180,0,0,180000
CollgCr,9965,RL,2Story,77,7,5,2007,2007,1264,1282,1414,0,2696,2,1,4,1,10,1,2007,3,792,120,184,0,383970
Crawfor,21000,RL,1Story,NA,6,5,1953,1953,1809,2259,0,0,2259,2,0,3,1,7,2,1953,2,450,166,120,192,217000
Crawfor,7259,RL,2Story,61,6,8,1945,2002,1028,1436,884,0,2320,2,1,3,1,9,1,1945,1,180,224,0,0,259500
Somerst,3230,FV,2Story,34,6,5,1999,1999,729,729,729,0,1458,2,1,2,1,5,1,1999,2,440,0,32,0,176000
Sawyer,11616,RL,1Story,NA,5,5,1962,1962,1092,1092,0,0,1092,1,0,3,1,6,1,1962,1,288,0,20,144,139000
Edwards,8536,RL,1Story,74,5,5,2006,2007,1125,1125,0,0,1125,1,1,2,1,5,0,2007,2,430,80,64,0,155000
SawyerW,12376,RL,2Story,90,7,5,1990,1990,1673,1699,1523,0,3222,3,0,5,1,11,2,1990,3,594,367,0,0,320000
CollgCr,8461,RL,2Story,65,6,5,2005,2006,728,728,728,0,1456,2,1,3,1,8,1,2005,2,390,0,24,0,163990
ClearCr,21453,RL,SLvl,NA,6,5,1969,1969,938,988,0,0,988,1,0,1,1,4,2,1969,2,540,0,130,0,180000
IDOTRR,6060,RM,1.5Fin,50,4,5,1939,1950,732,772,351,0,1123,1,0,3,1,4,0,1979,1,264,0,0,140,100000
NAmes,9464,RL,1Story,75,6,7,1958,1958,1080,1080,0,0,1080,1,0,3,1,5,0,1958,1,288,0,0,0,136000
SawyerW,7892,RL,1Story,55,6,5,1993,1993,1199,1199,0,0,1199,2,0,2,1,5,0,1993,2,530,0,63,0,153900
NWAmes,17043,RL,1Story,48,6,5,1979,1998,1362,1586,0,0,1586,2,0,3,1,7,1,1979,2,435,192,0,0,181000
IDOTRR,6780,RM,1.5Fin,60,6,8,1935,1982,520,520,0,234,754,1,0,2,1,5,0,NA,0,0,53,0,0,84500
NPkVill,4928,RL,1Story,NA,6,5,1976,1976,1078,958,0,0,958,2,0,2,1,5,1,1977,2,440,0,205,0,128000
OldTown,4388,RM,1.5Unf,55,5,7,1930,1950,672,840,0,0,840,1,0,3,1,5,1,NA,0,0,0,0,0,87000
NAmes,7590,RL,2Story,69,6,5,1966,1966,660,660,688,0,1348,1,1,3,1,6,1,1966,2,453,188,108,0,155000
NAmes,8973,RL,1Story,69,5,7,1958,1991,1008,1053,0,0,1053,1,1,3,1,6,0,1998,2,750,0,80,0,150000
NAmes,14200,RL,2Story,88,7,6,1966,1966,924,1216,941,0,2157,2,1,4,1,8,2,1966,2,487,105,66,0,226000
Gilbert,12224,RL,2Story,NA,6,5,2000,2000,992,1022,1032,0,2054,2,1,3,1,7,1,2000,2,390,24,48,0,244000
NAmes,7388,RL,1Story,75,5,6,1959,2002,1063,1327,0,0,1327,1,0,3,1,7,0,1974,2,624,0,0,0,150750
Timber,6853,RL,1Story,NA,8,5,2001,2002,1267,1296,0,0,1296,2,0,2,1,6,0,2001,2,471,192,25,0,220000
Sawyer,10335,RL,1Story,78,5,6,1968,1993,1461,1721,0,0,1721,2,1,3,1,7,1,1968,2,440,0,96,180,180000
NWAmes,10400,RL,1Story,80,7,6,1970,1970,1304,1682,0,0,1682,2,0,3,1,7,1,1970,2,530,98,0,0,174000
NAmes,10355,RL,1Story,NA,5,5,1967,1967,1214,1214,0,0,1214,2,0,3,1,5,1,1967,1,318,0,111,0,143000
Mitchel,11070,RL,1Story,82,7,5,1988,1989,1907,1959,0,0,1959,3,0,5,2,9,0,1989,3,766,0,0,0,171000
CollgCr,9066,RL,2Story,73,8,5,1999,2000,1004,1004,848,0,1852,2,1,3,1,7,2,1999,3,660,224,106,0,230000
CollgCr,15426,RL,2Story,65,6,5,1997,1997,928,928,836,0,1764,2,1,3,1,7,0,1997,2,470,276,99,0,231500
NAmes,10500,RL,1Story,70,4,5,1971,1971,864,864,0,0,864,1,0,3,1,5,1,NA,0,0,0,0,0,115000
CollgCr,11645,RL,1Story,78,7,5,2005,2005,1734,1734,0,0,1734,2,0,3,1,7,0,2005,2,660,160,24,0,260000
NAmes,8520,RL,1.5Fin,71,5,4,1952,1952,910,910,475,0,1385,2,0,4,1,6,0,2000,2,720,0,0,0,166000
CollgCr,10335,RL,1Story,78,7,5,1999,1999,1490,1501,0,0,1501,2,0,3,1,6,0,1999,2,577,144,29,0,204000
Sawyer,9100,RM,1Story,70,5,5,1963,1963,1728,1728,0,0,1728,2,0,6,2,10,0,1963,2,504,0,0,0,125000
Edwards,2522,RM,2Story,24,6,5,2004,2006,970,970,739,0,1709,2,0,3,1,7,0,2004,2,380,0,40,0,130000
BrkSide,6120,RM,1Story,51,5,7,1931,1993,715,875,0,0,875,1,0,2,1,5,0,1931,1,180,48,0,0,105000
Gilbert,9505,RL,2Story,NA,7,5,2001,2001,884,884,1151,0,2035,2,1,3,1,8,1,2001,2,434,144,48,0,222500
SawyerW,7500,RL,1Story,63,7,5,2004,2005,1080,1080,0,0,1080,1,0,3,1,6,0,NA,0,0,0,0,0,141000
BrkSide,6240,RM,1.5Fin,NA,5,4,1936,1950,896,896,448,0,1344,1,0,3,1,7,0,1936,1,240,200,114,0,115000
CollgCr,10356,RL,1Story,120,5,6,1975,1975,969,969,0,0,969,1,1,3,1,5,0,1975,2,440,0,0,0,122000
NridgHt,13891,RL,1Story,107,8,5,2007,2008,1710,1710,0,0,1710,2,0,2,1,6,1,2007,3,866,0,102,0,372402
NWAmes,14803,RL,2Story,NA,6,5,1971,1971,825,1097,896,0,1993,2,1,4,1,8,1,1971,2,495,0,66,0,190000
ClearCr,13500,RL,1Story,NA,6,7,1960,1975,1602,1252,0,0,1252,1,0,1,1,4,1,1960,2,564,409,0,0,235000
OldTown,11340,RM,1Story,84,6,5,1923,1950,1200,1200,0,0,1200,1,0,4,1,7,0,1923,1,312,0,0,228,125000
Edwards,9600,RL,1.5Fin,60,6,5,1924,1950,572,572,524,0,1096,1,0,2,1,5,0,NA,0,0,0,8,128,79000
NAmes,7200,RL,1Story,60,5,7,1950,1950,0,1040,0,0,1040,1,0,2,1,5,0,1950,2,625,0,0,0,109500
Timber,12003,RL,2Story,92,8,5,2009,2010,774,774,1194,0,1968,2,1,4,1,8,1,2009,3,680,0,75,0,269500
Somerst,12552,FV,2Story,100,7,5,2004,2005,991,991,956,0,1947,2,1,3,1,8,1,2004,2,678,0,136,0,254900
Gilbert,19378,RL,2Story,134,7,5,2005,2006,1392,1392,1070,0,2462,2,1,4,1,9,1,2006,2,576,239,132,0,320000
Veenker,11120,RL,1Story,NA,6,6,1984,1984,1232,1232,0,0,1232,2,0,3,1,6,0,1984,2,516,0,0,0,162500
NridgHt,13688,RL,2Story,110,9,5,2003,2004,1572,1572,1096,0,2668,2,1,3,1,10,2,2003,3,726,400,0,0,412500
NridgHt,12182,RL,1Story,95,7,5,2005,2005,1541,1541,0,0,1541,2,0,3,1,7,1,2005,2,532,0,70,0,220000
OldTown,5500,RL,1.5Unf,55,4,6,1956,1956,882,882,0,0,882,1,0,1,1,4,0,NA,0,0,0,0,0,103200
OldTown,5400,RM,1Story,40,6,7,1926,2004,1149,1149,467,0,1616,2,0,3,1,5,0,1926,1,216,0,0,183,152000
Edwards,10106,RL,1.5Fin,62,5,7,1940,1999,644,808,547,0,1355,2,0,4,2,6,0,NA,0,0,140,0,0,127500
ClearCr,10708,RL,1Story,NA,5,5,1955,1993,1617,1867,0,0,1867,1,0,2,1,7,3,1955,1,303,476,0,0,190000
NridgHt,10562,RL,2Story,86,8,5,2007,2007,1582,1610,551,0,2161,1,1,3,1,8,1,2007,3,789,178,120,0,325624
Gilbert,8244,RL,2Story,62,7,5,2004,2004,840,840,880,0,1720,2,1,3,1,7,1,2004,2,440,100,48,0,183500
Timber,16669,RL,1Story,NA,8,6,1981,1981,1686,1707,0,0,1707,2,1,2,1,6,1,1981,2,511,574,64,0,228000
OldTown,12358,RM,1.5Fin,NA,5,6,1941,1950,720,854,0,528,1382,1,1,2,1,7,0,1991,2,660,237,0,0,128500
NAmes,31770,RL,1Story,141,6,5,1960,1960,1080,1656,0,0,1656,1,0,3,1,7,2,1960,2,528,210,62,0,215000
StoneBr,5306,RL,2Story,44,7,7,1987,1987,1064,1064,703,0,1767,2,0,2,1,5,1,1987,2,504,441,35,0,239000
NAmes,10197,RL,1Story,80,6,5,1961,1961,1362,1362,0,0,1362,1,1,3,1,6,1,1961,2,504,0,20,0,163000
Timber,12416,RL,1Story,47,6,5,1986,1986,1606,1651,0,0,1651,2,0,3,1,7,1,1986,2,616,192,0,0,184000
Edwards,12615,RL,1Story,84,6,7,1950,2001,1202,2158,0,0,2158,2,0,4,1,7,1,1950,2,576,0,29,39,243000
ClearCr,10029,RL,2Story,97,6,5,1988,1989,1151,1164,896,0,2060,2,1,4,1,8,1,1988,2,521,0,228,0,211000
Sawyer,13650,RL,1.5Fin,NA,5,5,1958,1958,1052,1252,668,0,1920,2,0,4,1,8,1,1958,2,451,0,0,0,172500
StoneBr,17423,RL,1Story,63,9,5,2008,2009,2216,2234,0,0,2234,2,0,1,1,9,1,2009,3,1166,0,60,0,501837
OldTown,8520,RM,1Story,60,5,6,1923,2006,968,968,0,0,968,1,0,2,1,5,0,1935,2,480,0,0,184,100000
Somerst,2117,FV,2Story,NA,6,5,2000,2000,756,769,756,0,1525,2,1,3,1,5,1,2000,2,440,0,0,0,177000
Crawfor,7588,RL,2Story,54,7,6,1920,1950,793,901,901,0,1802,1,1,4,1,9,1,1920,1,216,0,0,40,200100
Edwards,9060,RL,1Story,60,5,6,1957,2006,0,1340,0,0,1340,1,0,3,1,7,1,1957,1,252,116,0,0,120000
OldTown,11426,RM,1.5Fin,63,7,5,2003,2003,1362,1362,720,0,2082,2,1,3,1,6,0,2003,2,484,280,238,0,200000
BrkSide,7438,RL,1.5Fin,92,5,8,1908,1991,504,936,316,0,1252,1,0,3,1,5,0,1986,2,576,104,0,0,127000
OldTown,22950,RM,2.5Fin,90,10,9,1892,1993,1107,1518,1518,572,3608,2,1,4,1,12,2,1993,3,840,0,260,0,475000
Mitchel,9947,RL,SLvl,NA,7,5,1990,1991,1188,1217,0,0,1217,2,0,3,1,6,0,1990,2,497,168,27,0,173000
OldTown,10410,RL,1.5Fin,60,5,7,1916,1987,660,808,704,144,1656,2,1,3,1,8,0,1916,1,180,0,0,0,135000
SawyerW,7018,RL,SFoyer,64,5,5,1979,1979,1086,1224,0,0,1224,0,2,2,2,6,2,1979,2,528,120,0,0,153337
StoneBr,4923,RL,1Story,41,8,5,2001,2002,1593,1593,0,0,1593,1,1,0,1,5,1,2001,2,682,0,120,0,286000
Crawfor,10570,RL,2Story,70,8,8,1932,1994,853,1549,1178,0,2727,2,1,3,1,10,2,1932,2,440,0,74,0,315000
NAmes,7472,RL,2Story,NA,7,9,1972,2004,725,725,754,0,1479,1,1,4,1,7,0,1972,2,484,0,32,0,184000
CollgCr,9017,RL,1Story,68,7,5,1999,1999,1431,1431,0,0,1431,2,0,3,1,6,0,1999,2,666,0,35,0,192000
Edwards,2522,RM,2Story,24,7,5,2004,2004,970,970,739,0,1709,2,0,3,1,7,0,2004,2,380,0,40,0,130000
CollgCr,7180,RL,1Story,60,5,7,1972,1972,864,864,0,0,864,1,0,3,1,5,0,1989,1,352,0,0,0,127000
NPkVill,2280,RL,2Story,24,6,6,1976,1976,855,855,601,0,1456,2,1,3,1,7,1,1976,2,440,87,0,0,148500
Somerst,9416,RL,1Story,79,7,5,2007,2007,1726,1726,0,0,1726,2,0,3,1,8,1,2007,3,786,171,138,0,311872
NAmes,25419,RL,2Story,174,8,4,1918,1990,1360,1360,1360,392,3112,2,0,4,1,8,1,1918,2,795,0,16,552,235000
